generation,best,avg
268,737.5442846038428,789.7856968404138
269,737.5442846038428,793.0505628920023
270,737.5442846038428,800.1140942006887
271,737.5442846038428,784.0934192350466
272,737.5442846038428,788.0407270521921
273,737.5442846038428,805.202111977774
274,737.5442846038428,804.541325123856
275,737.5442846038428,786.3538997216249
276,737.5442846038428,802.7195983569941
277,737.5442846038428,804.9238412423514
278,737.5442846038428,823.5154980698535
279,737.5442846038428,793.2637222833227
280,737.5442846038428,804.1940693105398
281,737.5442846038428,801.8940999394133
282,737.5442846038428,797.6251387647045
283,737.5442846038428,795.9898856221829
284,737.5442846038428,781.8409188925814
285,737.5442846038428,796.6478012421314
286,737.5442846038428,797.0144888351828
287,737.5442846038428,788.4696349478497
288,737.5442846038428,811.4595865737746
289,737.5442846038428,792.3977463217734
290,737.5442846038428,803.7703720956159
291,737.5442846038428,796.3589325030495
292,737.5442846038428,791.4530299797104
293,737.5442846038428,797.5925477385993
294,737.5442846038428,806.8106204898061
295,737.5442846038428,787.0415586758877
296,737.5442846038428,803.8172707319011
297,737.5442846038428,807.0499303144409
298,737.5442846038428,784.3151252176945
299,737.5442846038428,787.7910131382617
300,737.5442846038428,795.3636562695959
301,737.5442846038428,791.814162350753
302,737.5442846038428,797.2162331257263
303,737.5442846038428,791.3461426404439
304,737.5442846038428,802.2298161255947
305,737.5442846038428,802.7087330213494
306,737.5442846038428,799.4891461829076
307,737.5442846038428,799.2064069008792
308,737.5442846038428,813.0715441859278
309,737.5442846038428,790.288193520801
310,737.5442846038428,793.9239537616697
311,737.5442846038428,808.464952373927
312,737.5442846038428,806.8064639802972
313,737.5442846038428,799.7087964589311
314,737.5442846038428,787.6683624928712
315,737.5442846038428,802.0762444856186
316,737.5442846038428,805.0756275748005
317,737.5442846038428,794.4438008171436
318,737.5442846038428,803.0358577801805
319,737.5442846038428,797.4600160050851
320,737.5442846038428,791.5109390136204
321,737.5442846038428,802.3852195458446
322,737.5442846038428,802.7112095231713
323,737.5442846038428,794.5008126713452
324,737.5442846038428,799.6320324111887
325,737.5442846038428,787.28014177238
326,737.5442846038428,807.4153507979805
327,737.5442846038428,805.7393398464573
328,737.5442846038428,788.378010733542
329,737.5442846038428,797.4690422027961
330,737.5442846038428,801.8001641074865
331,737.5442846038428,789.8161867308012
332,737.5442846038428,790.7931055862823
333,737.5442846038428,804.9634806221616
334,737.5442846038428,803.2199041949798
335,737.5442846038428,790.7570776733281
336,737.5442846038428,808.167227405766
337,737.5442846038428,810.9959680392457
338,737.5442846038428,791.1141434220859
339,737.5442846038428,806.3596028248861
340,737.5442846038428,802.0852404699978
341,737.5442846038428,796.3622799390755
342,737.5442846038428,795.7702255992979
343,737.5442846038428,810.7583951210158
344,737.5442846038428,794.5396420082739
345,737.5442846038428,803.8579346616408
346,737.5442846038428,791.6672105300207
347,737.5442846038428,806.5222871941265
348,737.5442846038428,802.8580761889439
349,737.5442846038428,807.5595561025702
350,737.5442846038428,805.3623651933771
351,737.5442846038428,789.689175451979
352,737.5442846038428,785.8092450196715
353,737.5442846038428,809.5293126467486
354,737.5442846038428,788.9248341614627
355,737.5442846038428,794.5608758630191
356,737.5442846038428,784.6724779400006
357,737.5442846038428,802.0721050319887
358,737.5442846038428,796.1461288484709
359,737.5442846038428,799.2469067425558
360,737.5442846038428,785.4238336970226
361,737.5442846038428,804.7246946666529
362,737.5442846038428,809.8003000616607
363,737.5442846038428,807.4012624508135
364,737.5442846038428,791.3196147008238
365,737.5442846038428,794.3937862250256
366,737.5442846038428,812.5557151694583
367,737.5442846038428,801.5021085517167
368,737.5442846038428,802.4899220463714
369,737.5442846038428,788.9146078570368
370,737.5442846038428,796.2237409986582
371,737.5442846038428,808.0331684132362
372,737.5442846038428,790.1168839062017
373,737.5442846038428,815.9388191404063
374,737.5442846038428,788.1053350137196
375,737.5442846038428,804.2366445358225
376,737.5442846038428,801.4693247335147
377,737.5442846038428,790.4727238609572
378,737.5442846038428,808.3398250082339
379,737.5442846038428,797.8920502397896
380,737.5442846038428,797.213845942081
381,737.5442846038428,775.5037981007176
382,737.5442846038428,800.855290393215
383,737.5442846038428,796.2454674551024
384,737.5442846038428,788.946155435634
385,737.5442846038428,782.2009284263197
386,737.5442846038428,807.9382954950404
387,737.5442846038428,788.1306251214104
388,737.5442846038428,781.2087933750128
389,737.5442846038428,796.3130098112623
390,737.5442846038428,792.8266510303647
391,737.5442846038428,812.7875417622374
392,737.5442846038428,803.4896655202355
393,737.5442846038428,798.7548658694576
394,737.5442846038428,811.2222969291423
395,737.5442846038428,794.8518592438228
396,737.5442846038428,795.3967773550177
397,737.5442846038428,805.9403907097748
398,737.5442846038428,808.8652285041727
399,737.5442846038428,800.9121578586298
400,737.5442846038428,802.4917691143258
401,737.5442846038428,794.3042417476278
402,737.5442846038428,795.5710264915272
403,737.5442846038428,796.4787371321119
404,737.5442846038428,787.9346267676614
405,737.5442846038428,800.0225391164828
406,737.5442846038428,799.0307954262732
407,737.5442846038428,797.4828165237184
408,737.5442846038428,803.2252986963726
409,737.5442846038428,782.4724530915197
410,737.5442846038428,795.6708147203946
411,737.5442846038428,790.446342181758
412,737.5442846038428,782.7677081932655
413,737.5442846038428,786.7104471856765
